Date,Sector,Net
2017-04-18,Consumer Discretionary,0.2567
2017-04-18,Financials,0.2115
2017-04-18,Real Estate,0.0224
2017-04-18,Index,0.0537
2017-04-18,Currency,0
2017-04-18,Consumer Staples,0.0451
2017-04-18,Industrials,0.1847
2017-04-18,Health Care,0.0686
2017-04-18,Materials,0.1465
2017-04-19,Currency,0
2017-04-19,Financials,0.2127
2017-04-19,Materials,0.1474
2017-04-19,Consumer Staples,0.0454
2017-04-19,Consumer Discretionary,0.2578
2017-04-19,Industrials,0.1821
2017-04-19,Real Estate,0.0224
2017-04-19,Index,0.0493
2017-04-19,Health Care,0.0685
2017-04-20,Real Estate,0.023
2017-04-20,Consumer Discretionary,0.26
2017-04-20,Health Care,0.0686
2017-04-20,Financials,0.214
2017-04-20,Consumer Staples,0.0454
2017-04-20,Materials,0.147
2017-04-20,Index,0.0497
2017-04-20,Industrials,0.1804
2017-04-20,Currency,0
2017-04-21,Currency,0
2017-04-21,Financials,0.2142
2017-04-21,Index,0.0497
2017-04-21,Industrials,0.1804
2017-04-21,Real Estate,0.0226
2017-04-21,Consumer Staples,0.0454
2017-04-21,Consumer Discretionary,0.2591
2017-04-21,Health Care,0.069
2017-04-21,Materials,0.1483
2017-04-24,Consumer Staples,0.0452
2017-04-24,Industrials,0.1795
2017-04-24,Currency,0
2017-04-24,Financials,0.2132
2017-04-24,Materials,0.1524
2017-04-24,Health Care,0.0682
2017-04-24,Index,0.0498
2017-04-24,Real Estate,0.0225
2017-04-24,Consumer Discretionary,0.2581
2017-04-25,Financials,0.2123
2017-04-25,Materials,0.1526
2017-04-25,Real Estate,0.0221
2017-04-25,Consumer Discretionary,0.2588
2017-04-25,Index,0.0498
2017-04-25,Consumer Staples,0.0464
2017-04-25,Currency,0
2017-04-25,Industrials,0.178
2017-04-25,Health Care,0.0683
2017-04-26,Consumer Staples,0.048
2017-04-26,Industrials,0.1761
2017-04-26,Real Estate,0.0227
2017-04-26,Materials,0.153
2017-04-26,Index,0.0494
2017-04-26,Financials,0.2103
2017-04-26,Consumer Discretionary,0.2599
2017-04-26,Currency,0
2017-04-26,Health Care,0.0702
2017-04-27,Financials,0.2093
2017-04-27,Industrials,0.1766
2017-04-27,Consumer Staples,0.0474
2017-04-27,Health Care,0.0684
2017-04-27,Materials,0.1536
2017-04-27,Index,0.0496
2017-04-27,Real Estate,0.0229
2017-04-27,Consumer Discretionary,0.2608
2017-04-27,Currency,0
2017-04-28,Consumer Staples,0.0472
2017-04-28,Materials,0.1524
2017-04-28,Financials,0.2093
2017-04-28,Consumer Discretionary,0.2627
2017-04-28,Real Estate,0.023
2017-04-28,Currency,0
2017-04-28,Index,0.0495
2017-04-28,Industrials,0.1773
2017-04-28,Health Care,0.0683
2017-05-01,Consumer Discretionary,0.2629
2017-05-01,Currency,0
2017-05-01,Real Estate,0.0231
2017-05-01,Financials,0.2093
2017-05-01,Index,0.0498
2017-05-01,Industrials,0.1772
2017-05-01,Health Care,0.0683
2017-05-01,Materials,0.1522
2017-05-01,Consumer Staples,0.0471
2017-05-02,Materials,0.151
2017-05-02,Consumer Discretionary,0.2621
2017-05-02,Health Care,0.0658
2017-05-02,Consumer Staples,0.0472
2017-05-02,Real Estate,0.023
2017-05-02,Financials,0.2105
2017-05-02,Industrials,0.1795
2017-05-02,Currency,0
2017-05-02,Index,0.0497
2017-05-03,Industrials,0.1797
2017-05-03,Consumer Discretionary,0.2624
2017-05-03,Index,0.0467
2017-05-03,Real Estate,0.0238
2017-05-03,Materials,0.1526
2017-05-03,Health Care,0.0656
2017-05-03,Financials,0.2107
2017-05-03,Consumer Staples,0.047
2017-05-03,Currency,0
2017-05-04,Health Care,0.0665
2017-05-04,Materials,0.1528
2017-05-04,Real Estate,0.024
2017-05-04,Consumer Staples,0.0473
2017-05-04,Index,0.0437
2017-05-04,Financials,0.2116
2017-05-04,Industrials,0.1805
2017-05-04,Currency,0
2017-05-04,Consumer Discretionary,0.2616
2017-05-05,Materials,0.1514
2017-05-05,Health Care,0.0658
2017-05-05,Industrials,0.1814
2017-05-05,Currency,0
